subject,title,subject_summary,rating
876,CLANNAD ?AFTER STORY?,"在某小镇，主角冈崎朋也，因家庭因素而成为不良少年，直奔小坂高中就读的春原，过着混乱的生活。某天前，在另一所学校前从未停下脚步的少女，被称为“小川渚”的少女，开始了人生的重大转变。

故事的前半部分是关于主角角和渚的故事，后半部分则是由各个要素构成的故事。",9.104712994
25961,猫和老鼠,"Tom and Jerry is an American animated series of short films created in 1940 by William Hanna and Joseph Barbera. It centers on a rivalry between its two main characters, Tom Cat and Jerry Mouse, and many recurring characters, based around slapstick comedy.

In its original run, Hanna and Barbera produced 114 Tom and Jerry shorts for Metro-Goldwyn-Mayer from 1940 to 1957. During this time, they won seven Academy Awards for Animated Short Film, tying for first place with Walt Disney's Silly Symphonies with the most awards in the category. After the MGM cartoon studio closed in 1957, MGM revived the series with Gene Deitch directing an additional 13 Tom and Jerry shorts for Rembrandt Films from 1960 to 1962. Tom and Jerry then became the highest-grossing animated short film series of that time, overtaking Looney Tunes. Chuck Jones then produced another 34 shorts with Sib-Tower 12 Productions between 1963 and 1967. Two more shorts were produced, The Mansion Cat in 2001 and The Karate Guard in 2005, for a total of 163 shorts. Various shorts have been released for home media since the 1990s.

A number of spin-offs have been made, including the television series The Tom and Jerry Show (1975–77), The Tom and Jerry Comedy Show (1980–82), Tom & Jerry Kids (1990–94), Tom and Jerry Tales (2006–08), and The Tom and Jerry Show (2014-present). The first feature-length film based on the series, Tom and Jerry: The Movie, was released in 1992 before ten direct-to-video films were produced between 2002 and 2013.

Numerous Tom and Jerry shorts have been subject to controversy, mainly over racial stereotypes which involves the portrayal of the recurring black character Mammy Two Shoes and characters appearing in blackface. Other controversial themes include cannibalism and the glamorization of smoking.",9.086062133
6049,新世纪福音战士剧场版 Air/真心为你,"神秘的EVA 0号机已经完成，在它到来的同时，NERV中心教条的红水池也已经到来。这就是你命运的终结。
危机时刻，葛城美里无法完成寻找“第二次大算”的真相以及“第二次大算”背后的真相，需要保护、明日香真司和防御SEELE的身体接触。 。
赤木律子接受SEELE轰炸MAGI的提议，能够成功吗？很长一段时间，SEELE合作的碇元藤、冬月耕三、碇唯，预防类的《最终悲剧》，以及预防终止类的《完整计划》中的《完整计划》？劲在《新世界福音战士》视频版第二部分的解答。",8.93015873
237,攻壳机动队,2029年，公安部雕像在香港的日本城市“新港城”执行各种秘密任务。 9、由于缺乏正当程序、自身努力、强烈事件，外国和外国政府等部门受到挑战，以及消极的外交和公共安全措施。另一方面，九科中的重要人物草薙元子，全身都是机械变身的人类，却对自己的现状完全不以为然。一名神秘黑人客“傀儡军士”因企图刺杀外国政治官员而受到调查。傀儡师拥有与入侵者沟通、制造虚假记忆、重用记忆、重塑形象的能力的目的。可惜的是，九章追击成功，傀儡师的‘神魂’机变人来到了第九章。公安六班后，伪军总司令跑。草薙素子是一位成功的木偶师，之前曾招募、开发并执行过一个由六部分组成的系列剧。此时的傀儡管理者已经不是人类阶级了，公安六人设计已经到了非法经营的地步。 2501年，意想不到的中产阶级生活自我智慧的日历，决定逃离六课以寻求生存，并要求涌喰素子的灵魂“融合”以在旅途中取得进展。草薙素子在场后，给予政府特殊协助，完成融合，离开政府，陨落不明。,8.920222196
1728,浪客剑心 追忆篇,"幕府末期，外界疾病缠身，山河变迁，农民生活艰辛，人生崛起。少年心地善良，纯真，内心动人，天吾流派就是高手彦征十郎。
由于国家的危机，我被迫改变想法和时代变迁的梦想，参军，之后，我被桂小五郎接替了。 2015年第15年，多名政府官员遭到当局袭击，一名低级武士被不法分子联合打伤。
从此，我结识了京都情人幸代友惠，心中便贯穿了一位著名男情人的一生。一段暖心的逃亡生活，一场血雨腥风，一场政治斗争结束时的从容淡定。然而，在当今的时代背景下，两个人的幸福都是瞬间的……",8.899814736
265,新世纪福音战士,"2000年，一支位于中国南太平洋的科考队被评为“第一使徒”、进步探索的“光之巨人”。就在他们前进的时候，“光之巨人”也出手了，“第二次战斗”发生了，世界大战爆发了。最终，人口减少了一半，土地变得不均匀，气候也发生了变化。制定“第二次衰变”计划，在日本箱根设立联合国人工进步研究所（现GEHIRN），开展EVA（工程师和仪器工程师）研究，并完成建设使用 GEHIRN 拍摄的人工进步研究所下方的一个巨大洞穴。
另一方面，属于美国的秘密组织是SEELE海。
2004年，EVA第一台机器在训练中发生事故，碇慎司和妈妈失踪，碇元堂的开业完成。 2010年，GEHIRN由NERV翻新建造。
?2015年开始，SEELE人类类基础完成，书籍发布，巨型傀儡生物‘使徒’开始在日本注册，NERV持续进攻，NERV组织EVA使徒消失。在执行NERV使徒任务的同时，他制定了自己的计划，探索碇源头的秘密区域。根据时间变化，锚地和SEELE产量的计算、NERV和SEELE产量是矛盾且连续的。
《死亡》第21至24期的导演剪辑版已完成，20周年纪念版已在后台。",8.810734814
110467,白箱,本作的故事是五个追求梦想的女孩：宫森葵、安原麻、榊静香、藤堂美沙、今井绿从计划开始到计划结束又遭遇挫折的故事。一部在制作过程中存在诸多冲突的动态画界日常群剧作品。,8.720884137
211567,3月的狮子 第二季,这是一个关于一轮人以多种方式温暖的故事，同时也是一个关于一场竞赛的故事。主角桐山怜是一位孤独的 17 岁将棋棋手，由于童年的一场意外事故失去了家人。明里、日向、桃藏的妹妹和男孩桐山怜自从住在东京旧城区以来，他们的生活发生了变化。,8.783174561
1428,钢之炼金术师 FULLMETAL ALCHEMIST,"我已故的母亲，金属世界里最忌讳的就是人体，而我的兄弟却走了，我也失去了所有的兄弟姐妹，从此灵魂被定格，兄弟姐妹。黑道，阿尼的兄弟，在东西方都失去了生命，他们踏上了胜利者的征程。黑暗世界的惨无人道，逐渐暴露的真实军队，民族的美丽，被压迫人民不可抗拒的仇恨和怨恨，黄金世界发生的各种悲剧……各个点的各种悲剧，最终结局，未来，人民，国家大都市第一版。

在对爱情兄弟姐妹的希望越来越渺茫的时候，下一步就是尽快前行……

------------------

曾宇 2003年 每年编辑一次，在日本出版第20卷，并于2009年上半年出版新作，公布新系列原创漫画电影。随后，2009年2月10日，新作《钢之炼金术师》于4月5日下午5点发售。

故事以兄弟情谊、军事发展的各种谋略、各种行动和感情、细致入微的描写为主。电影被全世界普遍接受，电影在海外市场拍摄，ANIPLEX与各国代理商通力合作，一周内就在日本上映。

2009年在纽约动漫节上放映，播出5季（酷），共63集，后经导演入江泰弘确认。然而，2010年6月号的《月刊少年GANGAN》正式出版，并于7月4日出版了最终刊，并立即修改为包含全部64集。",8.767113016
340,虫师,"在这个地区，有昆虫和植物、微生物和细菌以及东西方的生命形式。东西方都称其为“虫”。当一个小存在形式的存在变得模糊时，当世界因世界而变化时，超验者的智慧就以一种奇怪的现象出现，而此时，一个人开始理解的能力的存在。 
生命所在之处，与存在不同。只是每个人都有自己的存在形式——作品与昆虫相连，班级中的昆虫，昆虫——主角，在旅行中不断与各种人和同一群体的昆虫互动。每个故事都被收录在一本取之不尽、用之不竭的书中。",8.718125797
839,蓝色恐惧,美麻林格是流行音乐偶像团体“CHAM！”的成员之一，但根据公司的决定，她是第一位演员。然而，当我觉得我的感情在我心里时，我拒绝做出个人选择，即使我别无选择，只能写一首歌，但我已经做出了我自己的决定。跟随电视节目从过去来来去去，过去的陌生和过去的到来没有看到自己的想法，在佛陀面前形成“另一个我”的存在。此时，每一个工人都被亲手连环杀死。在对国家社会权力平衡的怀疑中，混乱出现了……,8.746633103
3375,凉宫春日的消失,12月18日，春日旅馆对未来的期待也同样如此。 SOS小组启动后，公司复工。天道初二，天道一直在高中，不过对方却很小心，学校的学生与平日完全不同。春日凉子坐在后座时缺席，浅草凉子被替换。,8.707895338
321,机动警察 和平保卫战,"几年前，南方某连遭遇南方某敌，全军覆没。
如今，时间再次到来，跨海大桥突然爆炸，人们再次陷入恐慌。排名第一的荒川重介声称自己是警察局的负责人，到达与南富士后，事件真相不明，同时事件的实际情况也不得而知。 ，据飞机驾驶员报告，他在主桥失踪，柘行行人是最有嫌疑的犯罪分子。就在富士等人与松井合作的时候，在日本各地进行了一次虚假调查，目的就是东京都。从此，他加入了警察局，陷入了困境。如果你做不到这一点，政府的行动将成为你对东京自治权的忠诚的一部分。
在松井的努力下，最终他来到了柘植，当他被南云发现时，原来他是一个老式的恋人。荒川悠悠的进入、柘植幸人的死亡、与南音的再次接触、以及其他人在夜间失踪。
当你出生时，一个可怕的预兆就结束了：东京的通讯系统突然变得完全冗余，城市中的所有部门都发生了变化，盲人根本上是非法的。这时，一架巨大的、中毒严重的飞机正在接近这座毫无防护的城市……",8.783802572
840,千年女优,"日本当红女明星藤原千代子，30年前突然从银幕上消失。
三十年后，千代子的影子在一切苦难中消失，最终，她生活在一个安静的山村里，几十年后，千代子得到了一把不择手段的神秘勺子。
神秘勺子为少年打开回忆之门，千代子千代子进入回忆海洋，挖掘一幕不被人喜欢的知性爱情故事。故事的形象是一条从千代子的光辉岁月中溢出的河流，朝一个方向流淌，流淌不息的图像，汇集了海洋的图像；
然后，神的影子进入，千代子的记忆随着时间的推移而倒流，体内的悲伤的爱是千代子打开的神秘勺子的记忆，以及即将被打开的重要秘密。在李红柳情感最自由的时候，在回忆和爱情最浓烈的时候，千代子这个一代最真实、最永恒的巨星出现了。",8.703715398
238,攻壳机动队2 无罪,"故事在遥远的未来有所不同，当科学和技术相互对等时，美国机械和生物电子的出现，机器人开始广泛传播，世界被光和电子连接起来，人们也可以交流直接地。
主角是一名直属政府的公安九级刑警，犯下的罪行令人发指。事实上，它是一个完全机械化的人类，身体的大部分，包括四肢，都是人造机器的替代品。人类的微小记忆残留在别人的汪洋大海里，而那个喊着“元素”的女孩却漂浮在别人的海洋里，不曾忘记，也不会忘记。
某个天堂里，一台少女般的玩具机器突然失去控制，被主人杀死。 “人类归为机器，机械人归为机器，他或她是人类的对立面吗？净化的原因，以及远古世界的历史，将立即被揭开。”通电后，特殊的“大脑”从未停止过来自匿名黑顾客的攻击，一步步逼近事情的真相……",8.750620142
10380,命运石之门,《鸣谷崩坏》的《CHAOS;HEAD》事件发生一年半后，舞台转移到了秋叶原。神户阳太郎是一名第一名的深中生，一个自力更生的学生，自称“疯狂的疯狂科学家，光阴龙马”。地点位于世界的东部，两地都在这里。世界暴露了。然而，还有其他设备可能随时被意外地用于发送电子设备。与此同时，在未来和过去，当其他人都处于危险之中时，事实就是道路处于危险之中……,8.757337698
2907,银河英雄传说,"觉醒：故事概要包含了银河英雄OVA版的全部内容，故事如故事般精彩，并且扩展了逃生点的介绍。
------------------------------------------
1600年后，银河英雄故事的时间大约有1600年，是整个银河系的五分之一。当时，宇宙中存在着一个巨大的力量，一个名为“银河帝国”的独立星系，以及一个由逃离帝国的共和统治者建立的“自由星际联盟”。 帝国联盟是“边境叛军的据点”，联盟将领是“黑恶势力”，他们水火不相容，征战了200多年。世界上两国之间，充满了不利的太空航行和异常重力场，可以作为两国之间的通道的，只有著名的“加沙走廊”和“伊朗走廊” 。它所在的关沙走廊，是一座坚不可摧、实力强大的军事要塞，这里是一个实力雄厚的半独立国家——“关沙自治区”。因为宇宙的安排，高东巴王朝，银河帝国，自由行星盟的自由、独立、自尊、自治，以及后续的信息发展、生存成本、三边均衡会陷入冲突。
最终，双方都以年度第一英雄的身份登场：帝国的莱因哈特·冯·罗严格拉姆，和平联盟的景威利。一辆历史悠久的汽车已经开始运行。两人的动作在银河中飞速变化，同时，也有不少天才将领同时涌现。 莱因哈掌管的政府取得伟大胜利后，帝国内部各大部落的权力完成，改革完成并在百姓的期望中，使用帝国皇帝的事件举行，正式结盟宣布了，第一步就是牺牲价格。大军撤离，强敌强垒，联军进击。毫无戒心的联盟军队在景伟礼的巧妙指挥下，指挥下取得了胜利，然而当景伟礼立即指挥时，自由星联盟却交出自由宣言，军队领导层蒙羞。
一直以来，羽羽联盟政府自定的计划，以及原帝国联盟政府决定退休，已经去世退休的帝军联盟高层人员，最终陷入了一场联合风波。杨伟利的前部下成功救出营并逃脱，并攻克西安自治政府和崇西要塞。于是，大军正式摧毁了联盟，继续对要塞进行进攻。两人都在意大利大走廊，原因是生病停服了，而大地教会则在街头遭遇不幸身亡。任命他的妻子克林西安等政治职务，任命他的儿子尤里安和敏，以及他的军事职务，以及他未完成的事业。粘、高级帝国诸侯、新领地统帅罗严塔尔原统领受平叛特。他也被称为“帝国两大伟人”，并在执行军事任务期间去世。整个宇宙就是一条走廊，士兵们不断地攻击。由于战争的缘故，天皇获得了做出特殊决定的机会，原有联盟首都制度的内政和自治权被搁置。此后，他因病去世。
?《银河英雄物语》的观点不同于对人物的有限刻画，以及代表性英雄人物的独特性。 “无辜的资本主义”和“腐败的民主”之间发生了什么？本作的主旋律是一贯的“善与善的较量”，它超越了一般的奇幻作品，更有深刻的意义。红流在韩国的当代历史中，各种类型的历史小说的主旋律都是由白银和英文历史文本构成的。",8.780982425
263750,进击的巨人 第三季 Part.2,一百年前，一堵墙将战士们与外界隔开。墙的另一边，世界被延伸和打开。火红的水、冰冻的大地、沙沙的雪原……写在书的中间，都是关于人物的，有点紧张和好奇。时间的流逝，墙上巨人的存在，以及世界的真相逐渐逼近人类。巨人的真身是真的吗？墙上写着多少个巨人？难道是“坐”的力量变成了巨人？从那时起，当今世界的状况如何？随着载毅等第104代军人的加入，新成立的力威集团成立了。最强大、最强大的敌人，是在别人面前无法阻挡的人。,8.664674361
311,千与千寻,"十年前，荻野千寻出生，还是一名普通的四年级小学生，父母搬回家，开始准备和开始新的生活。然而，由于途中有迷宫，家长们不得不去不同的小建筑。这个小镇由当地的巫师掌管，称为“油屋”（汤婆婆）；而“油屋”是日本八亿天神社武士洗礼的地方。确定镇上没有工作。

千寻的父母不被允许购买食物，但商店店员不接受送货，结果是小猪被判有罪。在千寻的父母、祖母的助手“白龙”（台湾上映时的中文版《白龙》）的帮助下，进入了学校，并成功获得了计划。作者的姓氏写为“Chien”（台湾名字为“Xiang”）。在学校工作的过程中，诞生了小千个孩子，一个生活在城市里的小孩子，不适应学校，长大了，能力得到了提高，但随之而来的是一份真挚的感情；从一个年轻人的出生开始。

然而，营救父母是一个自以为是的人，每个人都面临着各种困难和危险。电影之后的心理变化也随之展开。

摘要：http://zh.wikipedia.org/wiki/%E5%8D%83%E4%B8%8E%E5%8D%83%E5%AF%BB",8.634143802
770,天元突破 红莲螺岩,"这是一个男人反抗生活、奋斗、不断奋斗的故事。
第一天，水下村庄Shosho Hamamura少年西蒙古被捕获钻头然而，这是西孟的好朋友，又被称为“戴卡”，而末日的尽头就是尘世所在的地方。 “冲破苍天，看看人间”是我每天的念头。然而，直树却成功了。直达天堂，一只巨大的机械怪物——“脸”冲破了村子的天花板，进入了村子的破碎之中。确认了尘世的存在，地热高涨，来到地球的少女优子，面对西门三小弟子的反抗，从西门中出来的意想不到的机器。天空——“雷和”已经从天花板中出来了，已经到达了尘世的尽头！
地表展现 在少男少女面前，这个展是地面上一张实质性的“颜脸”。奚梦瑶的未来，有多少人会无规律地向他们想象的方向发展。",8.572463165
4019,四叠半神话大系,《我》，一名体育大学三年级学生，这两年过着漫无目的的生活，有很多梦想，也有多种形式的学校生活。当我进入学校的时候，我选择了在学校，但也因此，我失去了自己的容貌。此时，与其他人处于同一位置的小津，与公司内外四人组成了一段爱情故事，被戏称为秋明的“黑山特辑”。小津的故事被黑人女孩的坎坷生活所证实！当时，对方公司的组...,8.556353591
1608,灌篮高手,"香道花道，湘北高中一年级学生。讲述了 50 名曾在此居住的女性的历史。第50名女学生的一句话：“我很高兴我和尾田是同一个学生。”没有参加高中和初中的美丽女孩赤木晴子写下的一句话：“你想打球吗？我希望回到正轨。”晴子的热情，她在场上的不懈参与，还有她惊人的速度。
他是第一名，第一名，第一名，正确而善良，朋友且无法的DUNK高田。然而，年初的时候，在篮球高中的流川霞、身患重病、正在第一场比赛路上的三城亮太、以及在比赛中被淘汰的三井尚初中第一届MVP，加入湘北棒球队，获得赤城赤城队长的称号，是全国永远不会重演的梦想。在大秀之际，赤木赤木、流川胜、三代凉太、三井俊一新人以及加茂花道鸟梨的通力合作，最终获得了全国大秀的入场券。",8.654757428
9717,魔法少女小圆,"日常生活就像有一个充满爱的家庭，有亲密的朋友，有时笑，有时哭，等等。
见泷原中学的普通初中二年级学生要圆，就是过着这样的日常生活的人之一。
有一天，她遇到了一次奇怪的遭遇。
她还不知道这次的相遇是巧合还是必然。
这是一次改变她命运的邂逅……
这是新的魔法少女故事的开始——

出身名门的家庭，好友一族，时不时的欢声笑语，有人在京城的日常生活。
要大学是屋久原中学市立天文台二年级的一名成绩平平的学生，在班级中排名第一。
突然，一个不可思议的人出现在我的眼前。
不知道是不是巧合，有没有可能积极一点，我的命运就会改变，新的魔法少女故事马上就要开始了。",8.55889357
93739,乒乓,星野丰（阿扁饰）是个打球天才，而月本（翔饰）则是一个打球出色的球员。其他人是小学、高中和高中棒球运动员。高中集训期间，中国上海的儒家文化大革命，以及王权的到来，介绍了中国学生成长故事的发展……,8.58658147
3302,福音战士新剧场版：破,在前往死者母亲坟墓的途中，真嗣和桂木美里遭遇了第七使徒的攻击，而当第二台机器被摧毁时，真地也意识到第二台机器的操作者是式波、明日香和第七使徒。你我沉默，波涛不一样，明日香的自信心很强，而且自信心很小，而真嗣的合作是和姫守，笑点很多，而其他三人隔着0号机、一号机和二号机，抵抗已经结束，第八使徒的凶猛攻击一直在进行，而到目前为止，在这个过程之中，已经出现了一股冷漠的气息。悲伤的感觉，现在三名青年男女已经在萌、福坤、第九使徒和十使徒一起降临的心中，真嗣等人也被迫思考生命中生死存亡的残酷。 .,8.510178613
1270,水星领航员 第三季,"水无明里是一个梦想成为 Prima Undine 的女孩。
《ARIA》系列对 Akari 和其他水手们的日常生活进行了丰富的情感描绘。
未来派治愈动画。
期待已久的第三季《ORIGINATION》的主题是“开始”。
一直在努力训练的明里等人即将迎来新的变化。
佐藤润一导演以及编织ARIA故事的其他工作人员和演员们将保持原样，为所有热爱ARIA的人带来通往未来的全新精彩体验。

“Aqua”是一颗通过行星改造而创造出的水星球。
在旅游城市新威尼斯，每个人都向往的工作是
一位名叫安迪娜的飞行员驾驶着缆车。
15 岁的女孩水无明里 (Akari Mizunashi) 梦想成为一名水女。
我是从Manhome来到Aqua的。
明里每天都在努力训练，以成为备受尊敬的三大水精灵之一。
ARIA公司是Alicia Florence经营的飞行员指南店。
我有时会担心像姬屋的爱香和橙色星球的爱丽丝这样的事情，
我正在努力成为 Prima Undine。",8.636610784
106207,虫师 续章 第2期,,8.573329391
216371,莉兹与青鸟,"都冢彰，高中三年级、初中三年级，Sourean 管演奏家。
时希希，高中三年级、初中生，长笛演奏家。

初中赛季开始时，美雪美雪在空中站了起来，突然她开始独自跑步。
我出生后，希美就掌控了世界。
只是简单的生活，才华和幸福。
初中一年级时，希美离开了铜管乐队。然而，说到这里，我的心里却感到忐忑不安。
——到底是真是假，君海又消失在自己面前了？

学年末，两人参加了高中毕业后的最后一场演出。
为观众提供的免费歌曲是“Rika Yo Seitou”。
这是两管长笛的第一章。

“故事的结局是，悦很美，悦也很好。”
不过，我还是害怕末日很快就会到来。

——永远，永远，留在这里——

同时在我们的日常生活中，我们都处于自我投射和自我投射的过程中。
天空是百合，希望是青鸟。
但……
两者之间的相互作用是相互排斥的，运动是恒定的，决定是在这个相互排斥的单一时刻做出的。",8.612467373
1015,机动战士高达0080 口袋里的战争,"【时代背景】
0079年12月，由纪公国的挑衅和一年战争的最后阶段，以及日本政府的人力资本的到来，以及和平协议的提前到来。然而，有的士兵却是固执，有的士兵还一头雾水，不服气。
?此时，国家军力被迫扩张，进行最后的大进攻，以及不受限制的军事技术领域的研发工作。少年英雄阿姆罗RX-78在战斗中的出色登场，MS发售时出现的新职业“NEW TYPE”能力的重要性。地球上的将军和北太平洋基地的结合体，最新的RX-78高性能“NT（NEW TYPE）-1 Akusa”。随后，12月21日，北关根据地遭到袭击，基翁支军遭到攻击。不幸的是，幸吉NT-1尚未被发现，目前正在秘密运输的掩护下前往太空中部的中立区域。

【12月情况】
SIDE6沉沉进入一个带安亚和和的气氛中，这远离战场、几乎从发生过乀么战事、驻存到附近的联凛尛的队伍也多、这一点、广未用庿阿高原因、理由等等。 军队陷入困境，飞机上看着激战的场面。有一天，在海女和朋友们的交流中，殖民地的人们被迫迁移，而这就是有吉的小横调查部被带到了与国家学生的碰撞点之上的情况。在一片荒芜的森林里，在一片草地上。
Dropped Yoshini Shinmei Nuni，Self-Puri -Ei Puri -Ushi -like Shadow Shade Design Porcelain，Rosato Mako 记录 鲁联 联 联 联 联 联 联 联 联 联 联 联除此之外，还有一个红衣少女传送到地球时住在阿玛家附近的照片。获得巴尼的信息，军队提拔时受到军方的重视，以及立即建立支部和小部队的其他高级军事人员的分配。你在这里，一处发生小规模战斗，战斗中一片混乱，SIDE6再次被渗透。在太空殖民地中，巴得到了相互支持。
就是成为一个年轻人，成为一个军人年轻人的好朋友。有一天，我在美国的时候，有过两次遭遇，看我的作品对我来说是一分钟的经历。与此同时，建设中途还有一座小型秘密工厂，高中部的新型机动战士正在建设中，还没等建设完成就已经完成了。一切准备工作完成后，建设完成，雪园的旧军开启，军长能够利用日军从花生中流出来的水，让NT-1更有竞争力。 ，并且其性能比前一种更好。结果，除了哈尼小军外，所有士兵都战死了。
凯昂发起进攻，小部队损失惨重后，小部队唯一幸存的成员巴尼赶到，指示他立即离开SIDE6。由于军队遭到破坏，我们重组了部队并消灭了他们，在那晚之前，我们能够建立一个新的太空殖民地。接到巴尼的消息后，我立即通知了家人，并要求他们尽快离开栖息地。阿玛的希望是成为一个自私、有才华、才华横溢的美国人，殖民地的命运是要被拯救的。
警察没有这么做。与此同时，吉恩军登上一艘带有核头的攻击舰，将其母舰分开。此时此刻，我在Ara-men的朋友和家人放弃了挑战Target的愿望。在美国方面的配合下，第一次攻击在SIDE 6上完成，唯一使用的武器就是攻击NT-1的能力。与此同时，几天后，皇军司令从父亲口中得知，战斗已经完成，其他飞机飞向战斗发生的地区，已经刺穿了观众席。然而救援者的NT-1座却被一个浑身通红的红衣人所救，仆人傻眼了……",8.599901937
247,银魂,江户时代末期（本作开始前20年），绰号“天人”的神秘外星外星人降临。这是人间与天人之间战争的瞬间爆发，众多武士、城邑派的武士、爱国者、京师与天人的一场战斗，幕府的见识达到了天人的伟大力量，最终，天人头低，武士无法控制，由于条件不平等，才允许其他人入境。此后，剑令下达，武士刀剑放出，使节等人反叛无权。在这种情况下，天人横行，幕府受天人影响，极度克制，结果就是“傀儡政府”。由一位独特的武士和他的同伴在当今书写的充满想象力的生活。,8.676140613
